num,Date,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,gen,age
62,2017-05-29 12:04:06,6,4,2,4,1,5,1,6,3,4,3,4,6,7,6,3,4,,
63,2017-05-29 14:00:20,6,4,7,7,5,2,5,6,4,2,5,2,5,6,4,2,5,,
64,2017-05-29 14:01:31,5,4,4,4,5,3,4,4,4,4,5,4,4,4,4,4,4,,
65,2017-05-29 15:27:10,6,3,2,4,5,4,1,5,2,2,2,2,4,2,4,2,3,,
66,2017-05-29 15:41:09,6,4,4,7,4,1,1,7,3,1,5,1,7,7,7,1,1,,
67,2017-05-29 16:06:37,6,2,6,6,4,1,1,6,3,1,4,1,4,5,5,3,1,,
68,2017-05-29 17:00:20,5,3,4,4,1,3,1,5,3,6,1,6,3,4,5,1,2,,
69,2017-05-29 20:13:04,4,7,4,3,2,4,1,4,1,7,2,5,2,5,2,1,4,,
70,2017-05-29 21:49:32,4,3,5,4,4,3,2,6,4,5,5,2,5,5,5,4,2,,
71,2017-05-30 00:31:39,5,3,3,5,4,2,1,6,2,2,2,6,4,5,5,4,2,,
72,2017-05-30 09:04:17,5,1,4,4,1,2,1,5,1,4,1,4,5,4,5,1,1,,
73,2017-05-30 09:14:11,5,1,2,5,3,1,1,4,3,6,2,2,4,4,4,2,1,,
74,2017-05-30 11:27:17,4,2,4,5,2,2,1,7,3,2,4,2,5,5,5,1,1,,
75,2017-05-30 12:53:32,4,4,4,4,5,4,2,5,5,3,4,4,5,5,6,5,7,,
76,2017-05-30 13:13:09,5,4,5,6,5,3,2,6,3,4,3,3,5,5,6,2,2,,
77,2017-05-30 13:19:18,5,1,4,5,4,4,1,5,4,6,5,6,4,4,4,1,2,,
78,2017-05-30 16:59:00,6,3,2,5,4,2,1,7,1,4,5,2,6,6,7,1,1,,
79,2017-05-30 19:55:45,5,6,7,7,2,2,1,7,7,1,5,6,7,7,2,7,4,,
80,2017-05-30 20:28:09,5,1,1,4,1,1,1,4,1,4,1,6,3,4,5,1,1,,
81,2017-05-30 20:41:05,6,5,5,4,4,2,2,6,5,1,4,2,6,6,6,4,2,,
82,2017-05-30 21:00:47,6,4,2,7,4,4,1,4,1,7,4,7,4,6,4,4,4,,
83,2017-05-30 21:04:47,5,2,3,4,3,1,1,6,4,2,2,3,5,5,6,2,1,,
84,2017-05-30 21:09:09,5,4,6,6,4,1,1,5,5,2,5,1,6,6,6,1,4,,
85,2017-05-30 22:36:03,5,5,5,2,4,2,3,6,5,2,3,2,5,4,5,2,2,,
86,2017-05-31 00:55:41,7,1,3,7,4,1,1,7,4,4,1,4,7,7,6,1,1,,
87,2017-05-31 03:02:33,6,3,4,5,5,4,1,6,4,4,4,4,7,5,4,1,3,,
88,2017-05-31 07:50:47,4,2,6,5,5,2,4,6,6,1,5,1,6,5,5,1,2,,
89,2017-05-31 09:48:13,5,2,4,4,2,3,1,6,3,5,3,3,5,5,4,1,1,,
90,2017-05-31 11:14:43,3,3,2,3,3,4,3,4,3,3,3,5,4,4,3,3,3,,
