num,Date,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,gen,age
270,2018-05-15 23:00:31,5,4,2,6,3,3,2,6,4,5,3,6,6,5,5,1,2,,
271,2018-05-15 23:13:05,4,6,2,6,1,2,1,6,1,3,2,6,6,6,7,1,1,,
272,2018-05-16 00:50:48,6,4,5,4,4,3,1,5,4,3,3,2,6,6,6,3,2,,
273,2018-05-16 08:12:59,4,3,5,6,4,2,1,5,4,1,6,2,6,5,5,2,1,,
274,2018-05-16 08:14:47,5,2,7,6,4,2,2,5,5,1,5,1,4,5,5,2,2,,
275,2018-05-16 12:49:53,5,3,4,7,4,4,1,5,1,2,1,5,6,2,4,2,2,,
276,2018-05-16 17:55:56,5,3,5,7,4,2,1,6,4,3,4,2,7,7,7,2,2,,
277,2018-05-16 18:22:19,5,2,1,5,2,2,1,6,2,4,4,2,6,6,6,1,1,,
278,2018-05-16 18:27:05,6,2,4,4,3,1,1,6,4,7,1,5,6,6,6,1,1,,
279,2018-05-16 18:36:55,5,1,2,2,1,2,1,5,2,3,1,3,2,4,4,1,1,,
280,2018-05-16 18:50:12,4,4,2,2,1,3,1,4,3,5,2,3,6,7,7,1,1,,
281,2018-05-16 19:30:54,4,3,2,4,2,3,1,5,1,4,1,4,3,5,7,1,3,,
282,2018-05-16 19:37:05,6,2,5,6,3,2,1,6,4,1,4,1,6,6,6,1,1,,
283,2018-05-16 19:40:13,5,2,3,5,2,1,1,6,4,4,1,3,4,5,6,1,2,,
284,2018-05-16 20:31:37,5,1,4,5,2,1,1,7,4,3,2,3,6,6,6,1,2,,
285,2018-05-16 20:34:58,6,2,5,6,4,2,1,6,5,2,5,2,6,6,6,2,2,,
286,2018-05-16 21:05:50,5,3,4,6,4,2,1,5,3,2,7,6,6,6,6,1,1,,
287,2018-05-16 22:08:58,5,4,5,4,3,2,2,6,6,1,4,6,4,6,5,4,3,,
288,2018-05-16 22:36:09,3,3,1,3,2,4,1,5,2,1,2,2,5,5,5,2,1,,
289,2018-05-16 22:39:52,6,3,4,6,4,2,1,5,3,3,6,3,5,6,6,4,2,,
290,2018-05-16 23:41:03,5,4,5,5,4,3,3,6,6,3,4,2,5,6,6,3,3,,
291,2018-05-17 06:45:35,6,3,3,4,5,3,1,5,5,2,4,3,5,5,6,3,5,,
292,2018-05-17 08:07:51,4,3,4,2,4,2,1,5,4,2,2,2,5,5,4,4,2,,
293,2018-05-17 08:42:18,3,4,1,4,3,5,1,5,2,5,3,5,4,4,5,2,4,,
294,2018-05-17 09:01:26,5,4,2,6,5,2,2,6,7,1,3,2,6,7,5,1,1,,
295,2018-05-17 09:09:50,6,4,4,4,7,3,1,7,6,7,6,2,7,7,7,5,4,,
296,2018-05-17 09:23:25,6,2,2,5,3,2,1,6,1,3,3,4,5,5,5,1,1,,
297,2018-05-17 09:32:10,5,4,5,5,4,3,2,5,6,3,4,3,5,5,4,2,2,,
298,2018-05-17 10:17:27,4,4,5,4,5,3,4,4,3,4,2,3,4,4,4,2,4,,
299,2018-05-17 13:20:35,6,3,4,6,7,1,1,6,7,1,4,1,4,4,5,1,3,,
300,2018-05-17 17:11:03,4,4,2,4,2,4,1,4,2,6,2,6,4,4,4,1,4,,
301,2018-05-17 18:56:51,5,4,3,5,2,2,2,6,3,4,4,7,5,5,5,2,5,,
302,2018-05-17 19:02:51,5,4,5,5,6,2,5,7,5,1,4,2,6,5,5,4,1,,
303,2018-05-18 09:00:10,5,3,4,7,3,2,1,5,2,3,3,3,5,5,5,3,2,,
304,2018-05-18 09:23:04,5,4,4,4,3,2,1,5,3,2,2,2,3,4,5,1,1,,
305,2018-05-18 12:43:37,4,2,2,4,2,7,1,5,2,4,4,2,6,6,6,2,2,,
306,2018-05-18 13:23:52,6,3,4,7,6,7,1,7,4,6,4,5,7,5,6,1,1,,
307,2018-05-18 14:08:22,4,3,7,6,5,3,4,5,6,2,5,1,5,5,5,5,3,,
308,2018-05-18 14:08:38,5,4,2,6,1,2,1,7,1,7,1,7,4,5,6,1,2,,
309,2018-05-18 17:16:40,5,1,4,5,4,1,1,5,4,4,4,3,5,5,5,1,1,,
310,2018-05-19 04:34:02,5,4,4,5,4,4,1,5,4,4,4,4,4,4,5,2,4,,
311,2018-05-19 08:38:35,5,2,2,4,2,1,2,5,4,6,1,5,6,5,5,4,3,,
312,2018-05-19 09:12:56,5,1,5,5,4,2,1,6,4,4,5,2,4,5,5,1,1,,
313,2018-05-19 12:06:47,6,6,1,6,1,1,1,4,2,5,1,2,6,6,7,1,1,,
314,2018-05-19 12:24:40,5,2,4,5,4,2,1,5,4,2,5,4,5,4,5,1,1,,
315,2018-05-19 12:24:54,6,1,2,6,2,3,1,7,2,5,2,6,7,6,6,1,2,,
316,2018-05-19 15:22:17,5,3,5,5,4,3,1,6,4,1,3,3,6,6,6,3,3,,
317,2018-05-19 22:10:17,5,4,4,5,3,5,1,7,1,7,4,6,6,6,7,1,4,,
318,2018-05-19 23:11:39,6,1,4,7,4,1,1,7,4,2,4,2,7,7,7,1,1,,
319,2018-05-20 16:18:52,5,3,5,5,6,3,4,7,6,2,5,3,6,5,6,7,3,,
320,2018-05-20 18:01:08,6,2,4,5,6,1,1,5,4,1,2,1,4,4,5,1,2,,
321,2018-05-20 21:34:19,6,1,5,5,6,1,3,7,6,1,6,2,7,7,6,5,1,,
322,2018-05-20 21:39:57,6,3,6,4,5,3,2,6,5,6,4,4,5,6,6,2,2,,
323,2018-05-20 23:22:06,5,4,4,5,4,3,3,6,3,5,4,3,5,5,5,3,4,,
324,2018-05-21 11:18:52,3,6,3,1,1,4,1,4,1,4,1,3,1,1,2,1,4,,
325,2018-05-21 18:22:14,6,2,3,5,2,1,1,5,2,1,4,3,6,5,6,1,2,,
326,2018-05-21 22:27:17,5,1,2,3,2,4,1,5,1,6,1,2,4,4,6,1,1,,
327,2018-05-22 10:43:41,7,1,1,5,1,1,1,5,1,1,1,1,5,5,5,1,1,,
328,2018-05-22 22:59:29,5,2,1,3,2,2,1,6,1,3,2,2,5,5,5,1,1,,
329,2018-05-22 23:00:07,6,2,6,5,6,2,1,5,6,1,6,3,4,4,7,6,3,,
330,2018-05-24 16:45:07,4,2,4,5,4,2,1,6,3,5,3,2,6,6,4,1,1,,
331,2018-05-25 14:21:17,5,2,2,5,1,4,1,6,3,3,1,1,4,3,3,1,1,,
332,2018-05-26 12:27:19,3,6,2,3,2,4,2,6,3,6,2,4,4,3,4,3,3,,
333,2018-05-27 20:49:23,6,4,4,5,3,1,1,4,2,4,1,4,4,4,5,1,1,,
334,2018-10-30 11:28:03,5,2,4,2,4,2,1,5,5,1,3,4,5,5,5,5,2,,
335,2018-10-30 12:09:17,7,4,1,6,2,5,1,6,1,3,1,3,6,5,5,1,1,,
336,2018-10-30 13:01:56,5,3,4,5,4,3,3,4,4,3,4,4,7,7,6,3,4,,
337,2018-10-30 13:25:05,6,3,6,6,5,3,3,5,6,2,5,2,5,5,5,3,2,,
338,2018-10-30 20:55:14,5,2,5,6,5,2,1,6,4,1,6,2,6,6,6,2,1,,
339,2018-10-30 21:23:47,6,3,5,6,5,2,4,6,6,2,6,3,6,7,5,3,2,,
340,2018-10-31 07:11:11,5,4,4,6,4,3,2,5,5,3,1,4,4,3,6,1,2,,
341,2018-10-31 09:42:06,4,1,3,5,4,1,2,5,2,1,5,4,5,4,5,2,2,,
342,2018-10-31 10:19:28,5,3,4,5,3,3,1,5,3,6,3,4,5,4,4,3,2,,
343,2018-10-31 14:17:47,4,5,6,4,4,1,1,6,5,4,4,4,7,7,5,2,1,,
344,2018-10-31 16:26:49,5,2,6,6,6,3,3,5,4,2,4,2,5,4,3,2,2,,
345,2018-10-31 16:28:01,6,5,4,6,6,3,1,7,5,7,3,2,5,5,6,1,3,,
346,2018-10-31 17:36:14,4,1,4,5,3,1,4,5,3,2,4,4,5,6,6,3,1,,
347,2018-10-31 18:49:38,5,7,5,5,6,3,1,5,6,7,5,6,5,6,6,1,1,,
348,2018-10-31 22:17:43,5,2,3,5,2,2,1,5,1,4,4,4,5,5,5,1,1,,
349,2018-11-01 00:28:40,6,2,5,6,5,2,2,6,6,4,4,2,4,6,6,2,2,,
350,2018-11-01 08:24:48,5,4,4,5,4,3,1,6,4,3,4,4,4,4,5,4,3,,
351,2018-11-01 09:22:05,7,3,6,7,4,2,2,7,4,6,3,2,5,5,5,2,1,,
352,2018-11-01 09:33:48,7,4,4,7,7,2,2,6,3,2,3,3,6,5,5,1,1,,
353,2018-11-01 10:00:07,4,2,5,4,5,2,1,5,3,4,3,3,6,6,5,1,2,,
354,2018-11-01 20:57:19,6,3,3,4,4,2,1,6,5,3,4,4,5,6,7,1,1,,
355,2018-11-02 13:45:43,6,3,7,7,7,1,5,6,7,1,7,1,6,7,6,7,6,,
356,2018-11-02 13:59:58,5,4,3,7,3,7,1,4,3,5,4,7,5,4,6,1,3,,
357,2018-11-02 23:30:55,7,4,4,5,4,1,1,6,4,3,4,2,4,5,6,1,1,,
358,2018-11-03 08:56:13,6,3,2,6,3,5,1,5,3,4,2,3,5,4,5,1,2,,
359,2018-11-03 11:34:55,4,2,1,4,1,2,1,3,1,5,1,6,3,3,5,1,1,,
360,2018-11-03 18:19:09,4,4,1,7,3,2,1,5,1,5,1,6,6,5,4,1,3,,
361,2018-11-03 18:54:49,6,3,1,7,3,1,1,7,1,5,5,7,7,7,6,1,1,,
362,2018-11-04 00:34:25,4,3,4,5,3,2,1,5,3,4,4,4,5,5,5,1,4,,
363,2018-11-04 14:49:45,7,4,4,6,3,4,1,6,5,2,6,4,6,6,7,3,2,,
364,2018-11-04 15:00:36,6,4,2,4,1,6,1,5,2,1,4,3,6,6,6,4,1,,
365,2018-11-04 15:47:29,5,4,3,2,5,2,2,5,2,2,3,2,6,6,6,4,2,,
366,2018-11-04 15:59:18,4,3,3,5,3,3,3,6,4,5,4,4,5,4,5,1,3,,
367,2018-11-04 21:08:58,3,2,3,4,2,5,1,4,2,4,1,3,5,4,5,2,1,,
368,2018-11-04 21:09:29,5,2,2,4,2,3,1,5,2,2,1,4,2,2,4,1,2,,
369,2018-11-05 09:48:02,5,4,4,6,2,1,1,7,4,3,1,3,6,7,7,1,4,,
370,2018-11-05 10:21:17,6,4,2,6,1,2,1,4,2,2,2,7,6,6,6,1,4,,
371,2018-11-05 19:26:50,6,2,5,6,5,1,2,6,5,2,5,5,6,7,7,3,2,,
372,2018-11-05 20:54:54,6,6,2,6,4,2,2,6,5,2,5,4,7,6,7,2,1,,
373,2018-11-05 22:08:42,6,4,4,6,5,2,1,6,4,4,5,4,5,3,5,2,2,,
374,2018-11-05 23:22:32,4,2,2,7,2,4,1,6,2,5,2,3,5,5,6,2,3,,
375,2018-11-06 11:25:06,4,4,1,4,2,1,1,6,1,1,1,7,2,4,5,1,2,,
376,2018-11-06 20:08:11,5,4,6,3,2,6,5,6,3,4,4,4,6,4,6,6,2,,
377,2018-11-07 04:40:46,6,2,3,6,4,2,1,5,4,5,2,3,5,5,5,4,1,,
378,2018-11-07 22:39:37,4,3,4,4,6,1,4,4,3,1,2,3,4,3,4,3,1,,
379,2018-11-07 23:06:56,6,1,5,4,3,1,1,5,2,1,1,1,3,4,6,3,1,,
380,2018-11-08 12:34:13,7,2,4,7,3,1,1,7,3,1,4,4,7,7,7,3,2,,
381,2018-11-08 14:33:19,4,2,5,4,5,3,1,6,2,5,2,3,5,6,5,1,2,,
382,2018-11-08 22:45:12,5,3,1,6,2,1,3,6,3,6,2,4,6,6,5,3,6,,
383,2018-11-09 21:34:50,5,4,5,6,4,2,2,6,6,3,4,3,6,6,6,2,5,,
384,2018-11-10 12:28:27,5,4,1,5,3,2,1,5,4,5,2,7,4,6,6,1,2,,
385,2018-11-11 14:08:04,5,3,5,5,4,2,4,6,6,2,4,3,5,5,6,5,2,,
386,2018-11-12 17:33:20,6,2,2,7,1,1,1,7,2,3,3,1,6,6,7,2,1,,
387,2018-11-13 10:15:01,6,2,5,6,5,1,1,7,4,1,6,2,6,6,6,1,1,,
388,2018-11-13 14:00:53,5,1,6,5,6,6,3,6,3,2,5,4,6,6,7,2,6,,
389,2018-11-19 20:54:11,6,4,2,6,4,6,2,5,2,5,2,6,6,5,5,1,2,,
390,2019-05-02 15:28:44,4,4,2,5,2,2,1,7,3,5,4,4,4,5,5,1,1,,
391,2019-05-02 16:28:52,5,4,5,5,4,3,2,5,5,3,4,3,5,5,5,5,2,,
392,2019-05-03 18:51:34,6,3,3,7,4,1,1,5,3,6,2,5,7,7,7,5,2,,
393,2019-05-03 22:05:04,5,4,3,5,3,3,2,4,5,4,4,3,5,6,7,2,4,,
394,2019-05-04 11:21:52,5,3,4,5,2,2,1,5,2,6,1,6,6,4,6,1,2,,
395,2019-05-04 13:11:29,6,1,4,6,3,1,1,7,4,4,1,3,7,7,7,1,2,,
396,2019-05-04 15:10:33,7,1,1,7,1,7,1,7,1,4,4,1,7,7,7,1,1,,
397,2019-05-04 15:28:34,4,2,6,5,3,3,2,5,4,4,5,3,4,5,7,5,3,,
398,2019-05-04 15:35:01,6,4,4,4,4,2,1,6,3,1,4,2,4,3,6,3,1,,
399,2019-05-04 18:07:49,5,6,1,7,1,6,1,5,4,7,2,4,7,4,5,1,6,,
400,2019-05-04 19:21:56,5,3,3,4,3,3,1,6,3,4,4,3,5,7,5,2,1,,
401,2019-05-04 19:46:08,7,4,4,4,5,2,1,6,4,3,1,3,5,6,5,1,2,,
402,2019-05-05 08:20:11,6,1,1,6,1,2,1,5,1,6,3,6,5,5,5,1,1,,
403,2019-05-05 12:17:34,5,2,4,5,4,2,1,4,4,1,4,1,4,5,4,7,7,,
404,2019-05-05 13:18:20,6,3,7,7,7,2,3,6,7,2,7,2,6,5,6,4,4,,
405,2019-05-05 14:05:13,5,3,5,6,4,2,3,5,4,3,4,3,6,6,5,3,2,,
406,2019-05-05 16:08:58,5,2,3,4,3,2,2,5,2,2,2,2,5,5,5,2,2,,
407,2019-05-05 21:51:32,4,3,2,4,4,3,1,4,1,1,4,2,4,2,4,1,2,,
408,2019-05-06 08:17:44,6,1,3,7,1,3,1,6,1,1,1,1,5,5,7,1,1,,
409,2019-05-06 15:11:59,4,3,4,6,4,2,1,5,1,3,4,2,4,5,5,1,3,,
410,2019-05-06 15:14:16,6,2,1,4,3,1,1,6,1,5,1,1,6,6,6,1,1,,
411,2019-05-06 15:35:07,6,2,3,6,2,1,1,6,2,3,3,3,6,6,6,1,1,,
412,2019-05-06 18:16:28,7,4,4,6,5,1,1,7,6,1,5,4,6,6,6,4,2,,
413,2019-05-06 18:26:21,5,5,3,5,4,5,5,4,5,3,3,3,5,6,6,6,3,,
414,2019-05-06 22:47:09,4,3,4,5,4,3,1,4,3,4,3,3,4,4,4,1,2,,
415,2019-05-07 10:28:29,6,4,6,6,5,2,2,6,2,1,4,2,5,5,4,5,2,,
416,2019-05-07 18:28:41,4,4,4,5,1,1,1,5,1,2,1,1,5,5,5,1,1,,
417,2019-05-07 21:09:58,5,4,3,4,3,4,2,3,4,6,3,2,2,3,5,4,4,,
418,2019-05-07 21:19:48,6,3,3,7,3,1,1,6,2,2,2,6,6,5,4,6,4,,
419,2019-05-07 22:39:47,4,4,5,4,2,3,1,6,4,4,4,2,3,7,6,4,3,,
420,2019-05-07 22:45:40,5,1,1,4,1,3,1,1,1,5,1,2,2,4,4,1,1,,
421,2019-05-08 07:38:43,5,1,1,4,2,1,1,6,1,4,1,4,5,5,6,3,1,,
422,2019-05-08 08:03:11,5,3,2,6,2,2,1,6,4,2,2,2,5,5,5,3,2,,
423,2019-05-08 10:09:25,5,1,2,4,3,1,1,6,2,4,4,2,6,6,5,1,2,,
424,2019-05-08 10:18:45,6,4,2,4,2,2,1,6,1,4,2,5,5,5,5,2,4,,
425,2019-05-08 17:09:40,5,4,3,5,4,4,2,5,4,4,4,4,5,5,5,2,4,,
426,2019-05-08 19:42:31,5,1,7,7,5,1,2,5,5,3,5,1,7,7,6,4,2,,
427,2019-05-08 20:30:15,4,2,3,4,3,5,1,5,3,3,3,4,4,4,5,3,2,,
428,2019-05-08 21:29:06,6,4,1,4,2,4,1,5,3,4,3,6,5,5,6,1,2,,
429,2019-05-08 21:30:27,6,2,6,6,6,2,4,6,6,2,6,2,7,7,7,2,2,,
430,2019-05-08 21:33:46,5,3,4,5,4,2,2,7,4,4,5,3,6,6,6,3,2,,
431,2019-05-09 08:12:31,6,4,3,6,2,4,1,7,2,4,2,4,5,6,7,2,2,,
432,2019-05-09 18:22:28,6,3,1,6,1,1,1,7,3,3,1,3,6,5,6,3,2,,
433,2019-05-09 19:54:21,5,2,2,4,3,3,1,3,3,2,1,3,4,4,4,1,2,,
434,2019-05-10 09:01:39,5,4,2,4,2,2,1,5,2,3,2,6,5,4,6,2,2,,
435,2019-05-10 09:58:33,4,4,2,5,5,1,2,4,4,2,3,2,4,5,6,5,2,,
436,2019-05-10 10:23:28,5,1,4,6,3,2,4,5,5,3,2,2,3,3,5,2,2,,
437,2019-05-10 19:31:57,6,4,2,4,2,4,1,5,4,4,4,4,5,6,6,1,4,,
438,2019-05-10 22:14:09,5,3,3,4,2,3,1,6,2,4,2,6,4,4,5,3,2,,
439,2019-05-11 07:55:28,6,3,3,4,3,3,3,5,2,4,2,2,5,5,4,3,2,,
440,2019-05-11 13:48:36,4,3,4,4,3,3,1,5,3,3,3,3,4,5,5,2,2,,
441,2019-05-13 12:17:19,5,3,6,4,7,2,4,5,6,2,4,1,4,6,5,2,4,,
442,2019-05-13 16:08:26,5,2,3,6,4,2,1,7,1,4,4,1,6,5,6,2,1,,
443,2019-05-13 19:20:19,4,4,3,5,3,4,2,4,2,5,3,6,5,5,6,5,4,,
444,2019-05-13 20:45:43,5,2,5,4,5,2,1,6,4,5,7,1,6,6,6,2,2,,
445,2019-05-14 21:57:54,5,4,1,6,3,2,1,6,2,2,2,7,6,6,6,1,4,,
446,2019-05-15 07:33:39,5,1,1,2,2,1,1,3,2,4,1,2,4,3,4,1,2,,
447,2019-05-15 10:04:36,5,4,3,5,3,3,2,5,3,4,3,3,5,4,5,2,2,,
448,2019-05-15 11:22:42,7,1,4,6,4,2,2,7,3,3,4,3,6,6,6,1,2,,
449,2019-05-15 11:24:49,6,2,6,7,2,1,1,7,5,2,1,1,6,7,7,1,1,,
450,2019-05-15 14:19:50,5,4,3,5,2,3,1,5,3,4,4,5,6,5,5,2,2,,
451,2019-05-15 14:28:40,4,3,5,4,2,4,1,5,4,4,3,3,5,4,5,3,4,,
452,2019-05-15 18:33:09,5,3,6,6,5,1,1,7,6,1,4,1,6,7,7,2,1,,
453,2019-05-15 19:35:48,7,4,4,3,3,6,2,5,3,5,4,2,2,4,5,3,2,,
454,2019-05-15 21:27:31,6,1,7,6,5,2,1,7,6,1,6,2,7,7,7,1,1,,
455,2019-05-15 23:00:59,5,3,4,6,4,3,3,5,4,4,4,4,5,4,5,3,4,,
456,2019-05-16 07:32:08,6,4,3,6,3,2,1,5,3,3,3,3,5,5,4,1,3,,
457,2019-05-16 09:13:26,6,2,7,7,6,2,2,7,7,2,6,1,7,7,7,4,3,,
458,2019-05-16 10:28:04,5,4,3,2,3,2,2,2,3,3,4,5,3,1,2,2,2,,
459,2019-05-16 14:33:21,5,3,2,4,1,2,2,4,2,2,3,4,4,4,4,2,2,,
460,2019-05-19 19:01:05,3,4,7,4,3,6,1,5,5,6,4,3,5,7,7,1,4,,
461,2019-05-20 21:50:34,4,1,1,1,5,1,1,5,4,1,1,1,1,4,1,1,1,,
