"num","Date","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14","i15","i16","i17","gen","age","Dominancia","Prestigio"
210,"5/11/2017 13:27",5,2,6,6,4,1,1,6,6,1,4,1,6,6,7,2,1,NA,NA,4.625,6.22222222222222
211,"5/11/2017 16:38",5,3,2,4,4,2,1,6,2,2,2,2,5,5,5,6,4,NA,NA,3.625,5
212,"5/11/2017 18:14",6,1,1,6,2,1,1,7,2,1,1,1,3,3,7,1,1,NA,NA,2.75,5.88888888888889
213,"5/11/2017 19:20",5,3,5,4,4,3,1,6,3,4,4,2,5,5,6,2,2,NA,NA,3.625,5.22222222222222
214,"5/11/2017 21:58",4,3,4,4,4,3,2,4,3,3,4,3,4,4,4,4,3,NA,NA,3.875,4.33333333333333
215,"5/11/2017 22:36",5,4,5,6,6,2,1,6,2,2,4,4,6,6,6,3,1,NA,NA,3.875,5.77777777777778
216,"5/11/2017 23:19",6,3,3,6,4,2,1,6,4,4,3,3,4,5,5,1,2,NA,NA,3.125,5.44444444444444
217,"5/11/2017 23:39",5,2,6,6,3,2,4,7,3,2,5,3,4,4,4,2,2,NA,NA,4.25,5.33333333333333
218,"6/11/2017 10:06",5,2,4,6,4,2,1,5,4,3,4,2,5,5,4,3,3,NA,NA,3.875,5.22222222222222
219,"6/11/2017 10:29",4,4,2,5,3,2,1,4,2,4,3,5,5,6,6,1,2,NA,NA,2.375,5.11111111111111
220,"6/11/2017 10:33",5,2,2,7,4,3,2,6,2,3,2,5,5,6,6,2,2,NA,NA,2.75,5.77777777777778
221,"6/11/2017 11:19",4,3,4,5,2,3,1,6,4,5,2,3,4,3,5,1,1,NA,NA,2.75,4.88888888888889
222,"6/11/2017 11:42",6,4,4,7,1,1,1,6,1,4,4,4,6,6,6,1,1,NA,NA,2.5,6.11111111111111
223,"6/11/2017 11:58",7,6,1,5,6,2,1,7,2,2,2,6,6,7,5,1,7,NA,NA,2.625,5.11111111111111
224,"6/11/2017 18:14",5,4,4,6,2,1,1,5,4,3,2,6,5,5,5,2,2,NA,NA,2.75,5.33333333333333
225,"6/11/2017 21:25",5,3,4,6,3,3,3,1,1,4,4,3,5,5,5,2,1,NA,NA,3.25,4.88888888888889
226,"6/11/2017 22:04",4,6,3,4,4,3,1,6,3,1,2,4,5,4,5,4,4,NA,NA,3.5,4.33333333333333
227,"6/11/2017 22:49",5,2,4,6,4,2,2,6,4,4,4,4,5,5,6,2,2,NA,NA,3.5,5.66666666666667
228,"6/11/2017 23:32",4,4,4,3,4,3,1,4,5,4,5,1,4,5,4,2,2,NA,NA,4,4.33333333333333
229,"7/11/2017 17:57",5,3,2,5,3,1,1,5,4,1,5,1,5,5,6,1,1,NA,NA,3.75,5.55555555555556
230,"8/11/2017 16:27",5,3,6,6,5,2,2,6,4,3,3,3,4,4,5,1,2,NA,NA,3.875,5.22222222222222
231,"8/11/2017 19:42",4,1,1,5,1,2,1,5,1,2,1,7,3,5,5,1,1,NA,NA,1.625,5.22222222222222
232,"8/11/2017 20:04",6,4,4,7,5,1,1,7,3,1,6,3,7,7,7,1,3,NA,NA,4,6.33333333333333
233,"10/11/2017 13:13",6,6,4,6,4,5,1,7,3,5,4,4,5,5,6,1,1,NA,NA,3,5.22222222222222
234,"10/11/2017 18:25",7,4,2,3,3,1,1,7,2,1,5,4,7,7,7,3,1,NA,NA,3.375,6.22222222222222
235,"11/11/2017 10:42",5,2,4,5,4,5,2,5,2,4,2,4,4,4,5,1,1,NA,NA,2.875,4.88888888888889
236,"11/11/2017 13:08",4,3,4,3,5,5,3,6,5,1,5,2,5,5,6,5,3,NA,NA,5,4.66666666666667
237,"11/11/2017 16:58",6,3,1,6,1,2,1,7,1,3,1,5,6,5,6,1,1,NA,NA,1.75,6
238,"11/11/2017 19:33",5,3,4,6,2,5,1,7,1,4,4,5,7,6,6,1,4,NA,NA,2.5,5.44444444444444
239,"11/11/2017 21:58",7,3,4,5,2,2,1,7,2,4,5,4,4,6,6,1,2,NA,NA,2.875,5.77777777777778
240,"12/11/2017 11:57",4,3,5,4,6,5,2,4,4,5,3,2,3,4,3,1,2,NA,NA,3.75,4
241,"12/11/2017 13:03",4,7,7,5,7,6,1,7,7,5,7,1,7,7,7,7,7,NA,NA,5.75,4.55555555555556
242,"12/11/2017 15:44",5,3,4,4,4,2,1,5,4,3,4,3,5,4,4,1,2,NA,NA,3.5,4.88888888888889
243,"12/11/2017 18:00",4,2,4,6,2,1,1,7,1,5,4,3,5,6,6,2,2,NA,NA,2.75,5.88888888888889
244,"12/11/2017 20:36",5,3,3,5,3,3,2,5,3,3,3,3,5,5,5,2,6,NA,NA,3.25,4.66666666666667
245,"12/11/2017 20:54",4,1,6,5,5,1,1,5,4,4,4,1,5,5,3,3,1,NA,NA,4.25,5.33333333333333
246,"12/11/2017 22:08",6,2,4,6,2,3,1,5,4,2,4,2,4,5,6,1,1,NA,NA,3.5,5.55555555555556
247,"13/11/2017 12:12",5,1,3,4,3,3,1,4,2,2,1,2,4,4,4,1,1,NA,NA,2.875,4.88888888888889
248,"13/11/2017 12:28",4,4,4,5,3,5,1,5,3,4,3,5,4,4,4,1,4,NA,NA,2.75,4.11111111111111
249,"13/11/2017 13:40",5,2,4,4,3,2,1,5,4,2,4,2,4,3,4,1,2,NA,NA,3.625,4.77777777777778
250,"13/11/2017 15:16",5,1,4,6,4,1,1,5,4,2,4,2,5,6,7,1,1,NA,NA,3.75,6.11111111111111
251,"13/11/2017 19:39",6,4,3,5,2,2,2,6,3,5,2,6,6,6,6,1,1,NA,NA,2.25,5.77777777777778
252,"14/11/2017 0:21",6,6,4,7,4,5,1,7,5,7,2,2,7,6,6,1,1,NA,NA,3,5.66666666666667
253,"18/11/2017 8:53",5,2,3,6,2,1,1,6,4,4,3,4,6,6,7,1,2,NA,NA,2.75,6.11111111111111
254,"18/11/2017 16:48",1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,NA,NA,2.625,3.44444444444444
255,"18/11/2017 22:21",6,3,2,5,4,2,1,6,2,7,6,4,5,5,6,2,2,NA,NA,2.75,5.55555555555556
256,"19/11/2017 10:53",6,4,4,6,5,3,1,5,2,4,1,4,6,6,5,1,2,NA,NA,2.75,5.44444444444444
257,"15/05/2018 14:03",4,4,4,1,1,1,1,5,1,1,1,2,7,2,2,1,2,NA,NA,2.75,4.22222222222222
258,"15/05/2018 14:09",6,2,4,4,4,2,2,5,4,3,2,3,4,3,5,1,1,NA,NA,3.375,5.11111111111111
259,"15/05/2018 15:41",5,1,1,4,1,1,1,7,1,4,1,7,3,5,6,1,1,NA,NA,1.375,5.66666666666667
260,"15/05/2018 16:36",5,4,2,3,3,2,3,5,2,4,2,5,4,4,4,4,3,NA,NA,2.875,4.44444444444444
261,"15/05/2018 17:44",6,2,5,6,2,2,2,6,3,5,5,3,6,6,6,1,1,NA,NA,3.25,6.11111111111111
262,"15/05/2018 19:54",5,3,5,6,3,2,3,6,5,2,4,1,6,5,6,3,4,NA,NA,4.5,5.44444444444444
263,"15/05/2018 20:02",5,3,4,5,3,5,4,6,3,3,5,4,5,5,5,3,1,NA,NA,3.875,5.11111111111111
264,"15/05/2018 20:16",4,6,3,3,3,4,1,6,4,6,3,3,4,4,4,1,4,NA,NA,2.75,3.88888888888889
265,"15/05/2018 20:58",6,3,1,5,3,3,2,4,4,3,3,6,5,5,4,2,2,NA,NA,2.75,5
266,"15/05/2018 21:07",6,3,3,7,3,2,1,7,3,3,1,6,5,6,6,1,1,NA,NA,2.375,6.11111111111111
267,"15/05/2018 21:45",5,2,7,6,5,1,4,5,6,2,6,2,5,6,6,5,4,NA,NA,5.625,5.55555555555556
268,"15/05/2018 21:58",4,2,4,5,4,2,1,6,5,1,4,4,6,3,4,3,1,NA,NA,4,5.22222222222222
269,"15/05/2018 22:56",5,6,4,4,6,6,1,6,4,3,3,3,4,4,4,1,1,NA,NA,3.625,4.22222222222222
270,"15/05/2018 23:00",5,4,2,6,3,3,2,6,4,5,3,6,6,5,5,1,2,NA,NA,2.5,5.33333333333333
271,"15/05/2018 23:13",4,6,2,6,1,2,1,6,1,3,2,6,6,6,7,1,1,NA,NA,1.875,5.55555555555556
272,"16/05/2018 0:50",6,4,5,4,4,3,1,5,4,3,3,2,6,6,6,3,2,NA,NA,3.875,5.33333333333333
273,"16/05/2018 8:12",4,3,5,6,4,2,1,5,4,1,6,2,6,5,5,2,1,NA,NA,4.375,5.44444444444444
274,"16/05/2018 8:14",5,2,7,6,4,2,2,5,5,1,5,1,4,5,5,2,2,NA,NA,4.875,5.33333333333333
275,"16/05/2018 12:49",5,3,4,7,4,4,1,5,1,2,1,5,6,2,4,2,2,NA,NA,2.75,4.88888888888889
276,"16/05/2018 17:55",5,3,5,7,4,2,1,6,4,3,4,2,7,7,7,2,2,NA,NA,3.875,6.22222222222222
277,"16/05/2018 18:22",5,2,1,5,2,2,1,6,2,4,4,2,6,6,6,1,1,NA,NA,2.625,5.88888888888889
278,"16/05/2018 18:27",6,2,4,4,3,1,1,6,4,7,1,5,6,6,6,1,1,NA,NA,2.25,6
279,"16/05/2018 18:36",5,1,2,2,1,2,1,5,2,3,1,3,2,4,4,1,1,NA,NA,2.25,4.66666666666667
280,"16/05/2018 18:50",4,4,2,2,1,3,1,4,3,5,2,3,6,7,7,1,1,NA,NA,2.25,5.11111111111111
281,"16/05/2018 19:30",4,3,2,4,2,3,1,5,1,4,1,4,3,5,7,1,3,NA,NA,2,4.77777777777778
282,"16/05/2018 19:37",6,2,5,6,3,2,1,6,4,1,4,1,6,6,6,1,1,NA,NA,4,6.11111111111111
283,"16/05/2018 19:40",5,2,3,5,2,1,1,6,4,4,1,3,4,5,6,1,2,NA,NA,2.625,5.55555555555556
284,"16/05/2018 20:31",5,1,4,5,2,1,1,7,4,3,2,3,6,6,6,1,2,NA,NA,3,6.11111111111111
285,"16/05/2018 20:34",6,2,5,6,4,2,1,6,5,2,5,2,6,6,6,2,2,NA,NA,4.25,6
286,"16/05/2018 21:05",5,3,4,6,4,2,1,5,3,2,7,6,6,6,6,1,1,NA,NA,3.5,5.77777777777778
287,"16/05/2018 22:08",5,4,5,4,3,2,2,6,6,1,4,6,4,6,5,4,3,NA,NA,4.125,5
288,"16/05/2018 22:36",3,3,1,3,2,4,1,5,2,1,2,2,5,5,5,2,1,NA,NA,2.875,4.66666666666667
289,"16/05/2018 22:39",6,3,4,6,4,2,1,5,3,3,6,3,5,6,6,4,2,NA,NA,4,5.66666666666667
290,"16/05/2018 23:41",5,4,5,5,4,3,3,6,6,3,4,2,5,6,6,3,3,NA,NA,4.5,5.22222222222222
291,"17/05/2018 6:45",6,3,3,4,5,3,1,5,5,2,4,3,5,5,6,3,5,NA,NA,4,4.88888888888889
292,"17/05/2018 8:07",4,3,4,2,4,2,1,5,4,2,2,2,5,5,4,4,2,NA,NA,3.875,4.66666666666667
293,"17/05/2018 8:42",3,4,1,4,3,5,1,5,2,5,3,5,4,4,5,2,4,NA,NA,2.25,4
294,"17/05/2018 9:01",5,4,2,6,5,2,2,6,7,1,3,2,6,7,5,1,1,NA,NA,4.125,5.77777777777778
295,"17/05/2018 9:09",6,4,4,4,7,3,1,7,6,7,6,2,7,7,7,5,4,NA,NA,4.5,5.66666666666667
296,"17/05/2018 9:23",6,2,2,5,3,2,1,6,1,3,3,4,5,5,5,1,1,NA,NA,2.5,5.66666666666667
297,"17/05/2018 9:32",5,4,5,5,4,3,2,5,6,3,4,3,5,5,4,2,2,NA,NA,4.125,4.88888888888889
298,"17/05/2018 10:17",4,4,5,4,5,3,4,4,3,4,2,3,4,4,4,2,4,NA,NA,3.75,4.11111111111111
299,"17/05/2018 13:20",6,3,4,6,7,1,1,6,7,1,4,1,4,4,5,1,3,NA,NA,4.75,5.33333333333333
300,"17/05/2018 17:11",4,4,2,4,2,4,1,4,2,6,2,6,4,4,4,1,4,NA,NA,1.75,4
301,"17/05/2018 18:56",5,4,3,5,2,2,2,6,3,4,4,7,5,5,5,2,5,NA,NA,2.625,4.88888888888889
302,"17/05/2018 19:02",5,4,5,5,6,2,5,7,5,1,4,2,6,5,5,4,1,NA,NA,5.25,5.55555555555556
303,"18/05/2018 9:00",5,3,4,7,3,2,1,5,2,3,3,3,5,5,5,3,2,NA,NA,3.25,5.44444444444444
304,"18/05/2018 9:23",5,4,4,4,3,2,1,5,3,2,2,2,3,4,5,1,1,NA,NA,3.25,4.77777777777778
305,"18/05/2018 12:43",4,2,2,4,2,7,1,5,2,4,4,2,6,6,6,2,2,NA,NA,2.875,4.88888888888889
306,"18/05/2018 13:23",6,3,4,7,6,7,1,7,4,6,4,5,7,5,6,1,1,NA,NA,3.125,5.66666666666667
307,"18/05/2018 14:08",4,3,7,6,5,3,4,5,6,2,5,1,5,5,5,5,3,NA,NA,5.625,5
308,"18/05/2018 14:08",5,4,2,6,1,2,1,7,1,7,1,7,4,5,6,1,2,NA,NA,1.125,5.44444444444444
309,"18/05/2018 17:16",5,1,4,5,4,1,1,5,4,4,4,3,5,5,5,1,1,NA,NA,3.375,5.66666666666667
310,"19/05/2018 4:34",5,4,4,5,4,4,1,5,4,4,4,4,4,4,5,2,4,NA,NA,3.375,4.44444444444444
311,"19/05/2018 8:38",5,2,2,4,2,1,2,5,4,6,1,5,6,5,5,4,3,NA,NA,2.5,5.33333333333333
312,"19/05/2018 9:12",5,1,5,5,4,2,1,6,4,4,5,2,4,5,5,1,1,NA,NA,3.75,5.55555555555556
313,"19/05/2018 12:06",6,6,1,6,1,1,1,4,2,5,1,2,6,6,7,1,1,NA,NA,2,5.66666666666667
314,"19/05/2018 12:24",5,2,4,5,4,2,1,5,4,2,5,4,5,4,5,1,1,NA,NA,3.625,5.33333333333333
315,"19/05/2018 12:24",6,1,2,6,2,3,1,7,2,5,2,6,7,6,6,1,2,NA,NA,1.875,6.22222222222222
316,"19/05/2018 15:22",5,3,5,5,4,3,1,6,4,1,3,3,6,6,6,3,3,NA,NA,4,5.44444444444444
317,"19/05/2018 22:10",5,4,4,5,3,5,1,7,1,7,4,6,6,6,7,1,4,NA,NA,2.125,5.22222222222222
318,"19/05/2018 23:11",6,1,4,7,4,1,1,7,4,2,4,2,7,7,7,1,1,NA,NA,3.75,6.88888888888889
319,"20/05/2018 16:18",5,3,5,5,6,3,4,7,6,2,5,3,6,5,6,7,3,NA,NA,5.5,5.44444444444444
320,"20/05/2018 18:01",6,2,4,5,6,1,1,5,4,1,2,1,4,4,5,1,2,NA,NA,4,5.33333333333333
321,"20/05/2018 21:34",6,1,5,5,6,1,3,7,6,1,6,2,7,7,6,5,1,NA,NA,5.5,6.55555555555556
322,"20/05/2018 21:39",6,3,6,4,5,3,2,6,5,6,4,4,5,6,6,2,2,NA,NA,3.75,5.44444444444444
323,"20/05/2018 23:22",5,4,4,5,4,3,3,6,3,5,4,3,5,5,5,3,4,NA,NA,3.625,4.88888888888889
324,"21/05/2018 11:18",3,6,3,1,1,4,1,4,1,4,1,3,1,1,2,1,4,NA,NA,2.125,2.44444444444444
325,"21/05/2018 18:22",6,2,3,5,2,1,1,5,2,1,4,3,6,5,6,1,2,NA,NA,3.125,5.77777777777778
326,"21/05/2018 22:27",5,1,2,3,2,4,1,5,1,6,1,2,4,4,6,1,1,NA,NA,2,5
327,"22/05/2018 10:43",7,1,1,5,1,1,1,5,1,1,1,1,5,5,5,1,1,NA,NA,2.5,5.88888888888889
328,"22/05/2018 22:59",5,2,1,3,2,2,1,6,1,3,2,2,5,5,5,1,1,NA,NA,2.375,5.33333333333333
329,"22/05/2018 23:00",6,2,6,5,6,2,1,5,6,1,6,3,4,4,7,6,3,NA,NA,5.375,5.33333333333333
330,"24/05/2018 16:45",4,2,4,5,4,2,1,6,3,5,3,2,6,6,4,1,1,NA,NA,3.125,5.55555555555556
331,"25/05/2018 14:21",5,2,2,5,1,4,1,6,3,3,1,1,4,3,3,1,1,NA,NA,2.625,4.77777777777778
332,"26/05/2018 12:27",3,6,2,3,2,4,2,6,3,6,2,4,4,3,4,3,3,NA,NA,2.5,3.77777777777778
333,"27/05/2018 20:49",6,4,4,5,3,1,1,4,2,4,1,4,4,4,5,1,1,NA,NA,2.5,5.11111111111111
334,"30/10/2018 11:28",5,2,4,2,4,2,1,5,5,1,3,4,5,5,5,5,2,NA,NA,4.125,5
335,"30/10/2018 12:09",7,4,1,6,2,5,1,6,1,3,1,3,6,5,5,1,1,NA,NA,2.125,5.44444444444444
336,"30/10/2018 13:01",5,3,4,5,4,3,3,4,4,3,4,4,7,7,6,3,4,NA,NA,3.875,5.33333333333333
337,"30/10/2018 13:25",6,3,6,6,5,3,3,5,6,2,5,2,5,5,5,3,2,NA,NA,5,5.33333333333333
338,"30/10/2018 20:55",5,2,5,6,5,2,1,6,4,1,6,2,6,6,6,2,1,NA,NA,4.5,6
339,"30/10/2018 21:23",6,3,5,6,5,2,4,6,6,2,6,3,6,7,5,3,2,NA,NA,5,5.88888888888889
340,"31/10/2018 7:11",5,4,4,6,4,3,2,5,5,3,1,4,4,3,6,1,2,NA,NA,3.25,4.88888888888889
341,"31/10/2018 9:42",4,1,3,5,4,1,2,5,2,1,5,4,5,4,5,2,2,NA,NA,3.625,5.33333333333333
342,"31/10/2018 10:19",5,3,4,5,3,3,1,5,3,6,3,4,5,4,4,3,2,NA,NA,2.875,4.88888888888889
343,"31/10/2018 14:17",4,5,6,4,4,1,1,6,5,4,4,4,7,7,5,2,1,NA,NA,3.75,5.55555555555556
344,"31/10/2018 16:26",5,2,6,6,6,3,3,5,4,2,4,2,5,4,3,2,2,NA,NA,4.625,5
345,"31/10/2018 16:28",6,5,4,6,6,3,1,7,5,7,3,2,5,5,6,1,3,NA,NA,3.375,5.33333333333333
346,"31/10/2018 17:36",4,1,4,5,3,1,4,5,3,2,4,4,5,6,6,3,1,NA,NA,3.875,5.77777777777778
347,"31/10/2018 18:49",5,7,5,5,6,3,1,5,6,7,5,6,5,6,6,1,1,NA,NA,3.375,5
348,"31/10/2018 22:17",5,2,3,5,2,2,1,5,1,4,4,4,5,5,5,1,1,NA,NA,2.5,5.44444444444444
349,"1/11/2018 0:28",6,2,5,6,5,2,2,6,6,4,4,2,4,6,6,2,2,NA,NA,4.25,5.77777777777778
350,"1/11/2018 8:24",5,4,4,5,4,3,1,6,4,3,4,4,4,4,5,4,3,NA,NA,3.75,4.77777777777778
351,"1/11/2018 9:22",7,3,6,7,4,2,2,7,4,6,3,2,5,5,5,2,1,NA,NA,3.625,6
352,"1/11/2018 9:33",7,4,4,7,7,2,2,6,3,2,3,3,6,5,5,1,1,NA,NA,3.875,5.88888888888889
353,"1/11/2018 10:00",4,2,5,4,5,2,1,5,3,4,3,3,6,6,5,1,2,NA,NA,3.375,5.33333333333333
354,"1/11/2018 20:57",6,3,3,4,4,2,1,6,5,3,4,4,5,6,7,1,1,NA,NA,3.375,5.77777777777778
355,"2/11/2018 13:45",6,3,7,7,7,1,5,6,7,1,7,1,6,7,6,7,6,NA,NA,6.75,5.77777777777778
356,"2/11/2018 13:59",5,4,3,7,3,7,1,4,3,5,4,7,5,4,6,1,3,NA,NA,2.375,4.55555555555556
357,"2/11/2018 23:30",7,4,4,5,4,1,1,6,4,3,4,2,4,5,6,1,1,NA,NA,3.625,5.66666666666667
358,"3/11/2018 8:56",6,3,2,6,3,5,1,5,3,4,2,3,5,4,5,1,2,NA,NA,2.625,5
359,"3/11/2018 11:34",4,2,1,4,1,2,1,3,1,5,1,6,3,3,5,1,1,NA,NA,1.375,4.55555555555556
360,"3/11/2018 18:19",4,4,1,7,3,2,1,5,1,5,1,6,6,5,4,1,3,NA,NA,1.625,5.11111111111111
361,"3/11/2018 18:54",6,3,1,7,3,1,1,7,1,5,5,7,7,7,6,1,1,NA,NA,2,6.55555555555556
362,"4/11/2018 0:34",4,3,4,5,3,2,1,5,3,4,4,4,5,5,5,1,4,NA,NA,3,4.88888888888889
363,"4/11/2018 14:49",7,4,4,6,3,4,1,6,5,2,6,4,6,6,7,3,2,NA,NA,4,5.77777777777778
364,"4/11/2018 15:00",6,4,2,4,1,6,1,5,2,1,4,3,6,6,6,4,1,NA,NA,3.25,5.11111111111111
365,"4/11/2018 15:47",5,4,3,2,5,2,2,5,2,2,3,2,6,6,6,4,2,NA,NA,3.875,5.11111111111111
366,"4/11/2018 15:59",4,3,3,5,3,3,3,6,4,5,4,4,5,4,5,1,3,NA,NA,3.125,4.88888888888889
367,"4/11/2018 21:08",3,2,3,4,2,5,1,4,2,4,1,3,5,4,5,2,1,NA,NA,2.5,4.55555555555556
368,"4/11/2018 21:09",5,2,2,4,2,3,1,5,2,2,1,4,2,2,4,1,2,NA,NA,2.375,4.33333333333333
369,"5/11/2018 9:48",5,4,4,6,2,1,1,7,4,3,1,3,6,7,7,1,4,NA,NA,2.875,5.88888888888889
370,"5/11/2018 10:21",6,4,2,6,1,2,1,4,2,2,2,7,6,6,6,1,4,NA,NA,2,5.33333333333333
371,"5/11/2018 19:26",6,2,5,6,5,1,2,6,5,2,5,5,6,7,7,3,2,NA,NA,4.25,6.33333333333333
372,"5/11/2018 20:54",6,6,2,6,4,2,2,6,5,2,5,4,7,6,7,2,1,NA,NA,3.75,5.88888888888889
373,"5/11/2018 22:08",6,4,4,6,5,2,1,6,4,4,5,4,5,3,5,2,2,NA,NA,3.625,5.22222222222222
374,"5/11/2018 23:22",4,2,2,7,2,4,1,6,2,5,2,3,5,5,6,2,3,NA,NA,2.375,5.33333333333333
375,"6/11/2018 11:25",4,4,1,4,2,1,1,6,1,1,1,7,2,4,5,1,2,NA,NA,1.875,4.66666666666667
376,"6/11/2018 20:08",5,4,6,3,2,6,5,6,3,4,4,4,6,4,6,6,2,NA,NA,4.25,4.66666666666667
377,"7/11/2018 4:40",6,2,3,6,4,2,1,5,4,5,2,3,5,5,5,4,1,NA,NA,3.25,5.66666666666667
378,"7/11/2018 22:39",4,3,4,4,6,1,4,4,3,1,2,3,4,3,4,3,1,NA,NA,4.25,4.66666666666667
379,"7/11/2018 23:06",6,1,5,4,3,1,1,5,2,1,1,1,3,4,6,3,1,NA,NA,3.625,5.44444444444444
380,"8/11/2018 12:34",7,2,4,7,3,1,1,7,3,1,4,4,7,7,7,3,2,NA,NA,3.625,6.77777777777778
381,"8/11/2018 14:33",4,2,5,4,5,3,1,6,2,5,2,3,5,6,5,1,2,NA,NA,3,5.22222222222222
382,"8/11/2018 22:45",5,3,1,6,2,1,3,6,3,6,2,4,6,6,5,3,6,NA,NA,2.5,5.33333333333333
383,"9/11/2018 21:34",5,4,5,6,4,2,2,6,6,3,4,3,6,6,6,2,5,NA,NA,4.125,5.33333333333333
384,"10/11/2018 12:28",5,4,1,5,3,2,1,5,4,5,2,7,4,6,6,1,2,NA,NA,2,5.22222222222222
385,"11/11/2018 14:08",5,3,5,5,4,2,4,6,6,2,4,3,5,5,6,5,2,NA,NA,4.875,5.44444444444444
386,"12/11/2018 17:33",6,2,2,7,1,1,1,7,2,3,3,1,6,6,7,2,1,NA,NA,2.875,6.55555555555556
387,"13/11/2018 10:15",6,2,5,6,5,1,1,7,4,1,6,2,6,6,6,1,1,NA,NA,4.375,6.33333333333333
388,"13/11/2018 14:00",5,1,6,5,6,6,3,6,3,2,5,4,6,6,7,2,6,NA,NA,4.375,5.11111111111111
389,"19/11/2018 20:54",6,4,2,6,4,6,2,5,2,5,2,6,6,5,5,1,2,NA,NA,2.25,5
390,"2/05/2019 15:28",4,4,2,5,2,2,1,7,3,5,4,4,4,5,5,1,1,NA,NA,2.5,5.22222222222222
391,"2/05/2019 16:28",5,4,5,5,4,3,2,5,5,3,4,3,5,5,5,5,2,NA,NA,4.375,5
392,"3/05/2019 18:51",6,3,3,7,4,1,1,5,3,6,2,5,7,7,7,5,2,NA,NA,2.875,6.33333333333333
393,"3/05/2019 22:05",5,4,3,5,3,3,2,4,5,4,4,3,5,6,7,2,4,NA,NA,3.5,5
394,"4/05/2019 11:21",5,3,4,5,2,2,1,5,2,6,1,6,6,4,6,1,2,NA,NA,1.875,5.33333333333333
395,"4/05/2019 13:11",6,1,4,6,3,1,1,7,4,4,1,3,7,7,7,1,2,NA,NA,2.875,6.66666666666667
396,"4/05/2019 15:10",7,1,1,7,1,7,1,7,1,4,4,1,7,7,7,1,1,NA,NA,2.5,6.33333333333333
397,"4/05/2019 15:28",4,2,6,5,3,3,2,5,4,4,5,3,4,5,7,5,3,NA,NA,4.25,5.11111111111111
398,"4/05/2019 15:35",6,4,4,4,4,2,1,6,3,1,4,2,4,3,6,3,1,NA,NA,4,5.11111111111111
399,"4/05/2019 18:07",5,6,1,7,1,6,1,5,4,7,2,4,7,4,5,1,6,NA,NA,1.875,4.33333333333333
400,"4/05/2019 19:21",5,3,3,4,3,3,1,6,3,4,4,3,5,7,5,2,1,NA,NA,3.125,5.44444444444444
401,"4/05/2019 19:46",7,4,4,4,5,2,1,6,4,3,1,3,5,6,5,1,2,NA,NA,3.25,5.44444444444444
402,"5/05/2019 8:20",6,1,1,6,1,2,1,5,1,6,3,6,5,5,5,1,1,NA,NA,1.5,5.77777777777778
403,"5/05/2019 12:17",5,2,4,5,4,2,1,4,4,1,4,1,4,5,4,7,7,NA,NA,4.75,4.44444444444444
404,"5/05/2019 13:18",6,3,7,7,7,2,3,6,7,2,7,2,6,5,6,4,4,NA,NA,5.875,5.66666666666667
405,"5/05/2019 14:05",5,3,5,6,4,2,3,5,4,3,4,3,6,6,5,3,2,NA,NA,4.125,5.55555555555556
406,"5/05/2019 16:08",5,2,3,4,3,2,2,5,2,2,2,2,5,5,5,2,2,NA,NA,3.25,5.22222222222222
407,"5/05/2019 21:51",4,3,2,4,4,3,1,4,1,1,4,2,4,2,4,1,2,NA,NA,3.25,4.22222222222222
408,"6/05/2019 8:17",6,1,3,7,1,3,1,6,1,1,1,1,5,5,7,1,1,NA,NA,2.75,6.11111111111111
409,"6/05/2019 15:11",4,3,4,6,4,2,1,5,1,3,4,2,4,5,5,1,3,NA,NA,3.25,5
410,"6/05/2019 15:14",6,2,1,4,3,1,1,6,1,5,1,1,6,6,6,1,1,NA,NA,2.25,6
411,"6/05/2019 15:35",6,2,3,6,2,1,1,6,2,3,3,3,6,6,6,1,1,NA,NA,2.75,6.22222222222222
412,"6/05/2019 18:16",7,4,4,6,5,1,1,7,6,1,5,4,6,6,6,4,2,NA,NA,4.5,6.11111111111111
413,"6/05/2019 18:26",5,5,3,5,4,5,5,4,5,3,3,3,5,6,6,6,3,NA,NA,4.5,4.66666666666667
414,"6/05/2019 22:47",4,3,4,5,4,3,1,4,3,4,3,3,4,4,4,1,2,NA,NA,3.125,4.55555555555556
415,"7/05/2019 10:28",6,4,6,6,5,2,2,6,2,1,4,2,5,5,4,5,2,NA,NA,4.625,5.33333333333333
416,"7/05/2019 18:28",4,4,4,5,1,1,1,5,1,2,1,1,5,5,5,1,1,NA,NA,2.75,5.22222222222222
417,"7/05/2019 21:09",5,4,3,4,3,4,2,3,4,6,3,2,2,3,5,4,4,NA,NA,3.375,3.77777777777778
418,"7/05/2019 21:19",6,3,3,7,3,1,1,6,2,2,2,6,6,5,4,6,4,NA,NA,3.125,5.55555555555556
419,"7/05/2019 22:39",4,4,5,4,2,3,1,6,4,4,4,2,3,7,6,4,3,NA,NA,3.75,4.88888888888889
420,"7/05/2019 22:45",5,1,1,4,1,3,1,1,1,5,1,2,2,4,4,1,1,NA,NA,1.875,4.33333333333333
421,"8/05/2019 7:38",5,1,1,4,2,1,1,6,1,4,1,4,5,5,6,3,1,NA,NA,2.125,5.77777777777778
422,"8/05/2019 8:03",5,3,2,6,2,2,1,6,4,2,2,2,5,5,5,3,2,NA,NA,3.25,5.44444444444444
