"num","Date","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14","i15","i16","i17","gen","age","Dominancia","Prestigio"
49,"26/05/2017 17:11",6,2,5,5,3,5,3,5,6,4,5,2,3,6,5,2,2,NA,NA,4.25,5
50,"26/05/2017 17:19",5,1,1,6,4,1,1,7,4,1,1,3,6,6,7,1,1,NA,NA,3,6.44444444444444
51,"26/05/2017 17:25",6,5,4,7,3,2,1,6,3,2,4,4,5,5,6,2,1,NA,NA,3.375,5.66666666666667
52,"26/05/2017 20:22",6,2,2,5,3,2,1,6,3,2,2,4,5,5,6,2,1,NA,NA,2.875,5.77777777777778
53,"27/05/2017 10:45",4,3,4,4,3,3,1,5,4,4,2,2,2,4,4,1,1,NA,NA,3.125,4.44444444444444
54,"27/05/2017 12:25",4,1,4,4,4,1,1,4,4,1,4,2,4,5,5,1,2,NA,NA,3.875,5.11111111111111
55,"27/05/2017 15:53",6,2,4,6,2,1,1,6,4,1,4,1,6,6,6,3,1,NA,NA,4,6.22222222222222
56,"27/05/2017 16:25",6,2,4,6,3,2,2,6,3,4,4,3,7,6,6,2,2,NA,NA,3.375,6.11111111111111
57,"27/05/2017 20:19",4,2,6,3,2,1,1,5,5,2,5,3,5,5,6,3,1,NA,NA,4.125,5.33333333333333
58,"27/05/2017 21:12",4,6,1,4,5,3,1,5,1,7,2,7,3,3,1,3,5,NA,NA,1.875,3.33333333333333
59,"28/05/2017 9:43",5,3,3,3,3,3,1,7,3,3,3,3,3,3,3,3,3,NA,NA,3.25,4.33333333333333
60,"28/05/2017 13:39",3,4,2,4,5,4,1,4,1,4,1,1,4,5,6,1,2,NA,NA,2.75,4.44444444444444
61,"28/05/2017 16:17",5,1,4,6,4,1,1,5,1,4,1,1,6,6,5,1,1,NA,NA,2.875,6
62,"29/05/2017 12:04",6,4,2,4,1,5,1,6,3,4,3,4,6,7,6,3,4,NA,NA,2.625,5.11111111111111
63,"29/05/2017 14:00",6,4,7,7,5,2,5,6,4,2,5,2,5,6,4,2,5,NA,NA,5,5.22222222222222
64,"29/05/2017 14:01",5,4,4,4,5,3,4,4,4,4,5,4,4,4,4,4,4,NA,NA,4.25,4.22222222222222
65,"29/05/2017 15:27",6,3,2,4,5,4,1,5,2,2,2,2,4,2,4,2,3,NA,NA,3.25,4.33333333333333
66,"29/05/2017 15:41",6,4,4,7,4,1,1,7,3,1,5,1,7,7,7,1,1,NA,NA,4,6.55555555555556
67,"29/05/2017 16:06",6,2,6,6,4,1,1,6,3,1,4,1,4,5,5,3,1,NA,NA,4.375,5.77777777777778
68,"29/05/2017 17:00",5,3,4,4,1,3,1,5,3,6,1,6,3,4,5,1,2,NA,NA,1.875,4.66666666666667
69,"29/05/2017 20:13",4,7,4,3,2,4,1,4,1,7,2,5,2,5,2,1,4,NA,NA,1.875,3.22222222222222
70,"29/05/2017 21:49",4,3,5,4,4,3,2,6,4,5,5,2,5,5,5,4,2,NA,NA,4.125,5
71,"30/05/2017 0:31",5,3,3,5,4,2,1,6,2,2,2,6,4,5,5,4,2,NA,NA,3,5.22222222222222
72,"30/05/2017 9:04",5,1,4,4,1,2,1,5,1,4,1,4,5,4,5,1,1,NA,NA,2.125,5.33333333333333
73,"30/05/2017 9:14",5,1,2,5,3,1,1,4,3,6,2,2,4,4,4,2,1,NA,NA,2.625,5.22222222222222
74,"30/05/2017 11:27",4,2,4,5,2,2,1,7,3,2,4,2,5,5,5,1,1,NA,NA,3.375,5.55555555555556
75,"30/05/2017 12:53",4,4,4,4,5,4,2,5,5,3,4,4,5,5,6,5,7,NA,NA,4.25,4.22222222222222
76,"30/05/2017 13:13",5,4,5,6,5,3,2,6,3,4,3,3,5,5,6,2,2,NA,NA,3.625,5.33333333333333
77,"30/05/2017 13:19",5,1,4,5,4,4,1,5,4,6,5,6,4,4,4,1,2,NA,NA,2.875,4.88888888888889
78,"30/05/2017 16:59",6,3,2,5,4,2,1,7,1,4,5,2,6,6,7,1,1,NA,NA,3,6.11111111111111
79,"30/05/2017 19:55",5,6,7,7,2,2,1,7,7,1,5,6,7,7,2,7,4,NA,NA,4.75,5.22222222222222
80,"30/05/2017 20:28",5,1,1,4,1,1,1,4,1,4,1,6,3,4,5,1,1,NA,NA,1.5,5.11111111111111
81,"30/05/2017 20:41",6,5,5,4,4,2,2,6,5,1,4,2,6,6,6,4,2,NA,NA,4.625,5.44444444444444
82,"30/05/2017 21:00",6,4,2,7,4,4,1,4,1,7,4,7,4,6,4,4,4,NA,NA,2.25,4.77777777777778
